episode,total_reward,steps,win
1,-1,1,0
2,-2,1,0
3,-1,2,0
4,-1,1,0
5,-2,2,0
6,1,2,1
7,2,1,1
8,-1,1,0
9,1,2,1
10,0,1,0
11,-1,1,0
12,1,1,1
13,-1,1,0
14,1,2,1
15,1,1,1
16,-2,1,0
17,-2,2,0
18,-1,1,0
19,-2,2,0
20,1,2,1
21,-1,1,0
22,-1,1,0
23,0,1,0
24,-1,1,0
25,-2,2,0
26,-2,1,0
27,-1,1,0
28,2,1,1
29,2,2,1
30,-1,1,0
31,-2,2,0
32,1,1,1
33,-1,1,0
34,-1,1,0
35,1,1,1
36,-1,1,0
37,-1,2,0
38,-1,1,0
39,0,1,0
40,1,2,1
41,1,1,1
42,-1,1,0
43,2,1,1
44,-1,1,0
45,-1,1,0
46,-1,1,0
47,-1,2,0
48,2,2,1
49,1.2,1,1
50,-1,1,0
51,-1,1,0
52,-1,1,0
53,-2,1,0
54,-1,1,0
55,-2,1,0
56,2,3,1
57,-1,2,0
58,-1,1,0
59,-2,1,0
60,1,1,1
61,-1,1,0
62,-2,1,0
63,2,2,1
64,0,2,0
65,-1,1,0
66,-2,1,0
67,-2,1,0
68,-1,2,0
69,-1,1,0
70,-1,1,0
71,-1,1,0
72,2,2,1
73,-1,1,0
74,1,1,1
75,-2,2,0
76,1,1,1
77,-1,1,0
78,-1,1,0
79,-1,1,0
80,2,1,1
81,-2,1,0
82,2,2,1
83,-1,1,0
84,1,1,1
85,1,1,1
86,1,1,1
87,-2,1,0
88,-1,2,0
89,-2,1,0
90,1,1,1
91,-2,1,0
92,1,1,1
93,-1,1,0
94,-1,1,0
95,2,1,1
96,2,1,1
97,2,1,1
98,-2,1,0
99,-2,1,0
100,-2,1,0
101,1,1,1
102,1,2,1
103,-2,1,0
104,1,4,1
105,1,1,1
106,-2,2,0
107,-2,1,0
108,-2,1,0
109,-1,1,0
110,-1,1,0
111,0,1,0
112,-1,1,0
113,-2,1,0
114,1.2,1,1
115,0,1,0
116,-1,1,0
117,2,1,1
118,-2,2,0
119,1,1,1
120,-2,1,0
121,-1,1,0
122,1,1,1
123,1,1,1
124,2,1,1
125,-2,2,0
126,-2,1,0
127,1,1,1
128,2,2,1
129,2,1,1
130,1,4,1
131,-1,1,0
132,1,1,1
133,1.2,1,1
134,-2,3,0
135,1,2,1
136,-1,2,0
137,-1,1,0
138,-1,2,0
139,-2,1,0
140,-2,2,0
141,1,1,1
142,-2,1,0
143,2,1,1
144,-1,1,0
145,1,2,1
146,1.2,1,1
147,-2,1,0
148,1,2,1
149,-2,1,0
