episode,total_reward,steps,win
1,-1,1,0
2,1,1,1
3,-1,1,0
4,1,1,1
5,-1,1,0
6,-1,1,0
7,-2,1,0
8,2,1,1
9,1,1,1
10,1,2,1
11,-1,2,0
12,-2,1,0
13,2,1,1
14,-1,1,0
15,-1,1,0
16,1,1,1
17,-1,3,0
18,-2,1,0
19,-1,1,0
20,-1,1,0
21,-1,1,0
22,-1,1,0
23,-2,1,0
24,2,1,1
25,1,2,1
26,0,1,0
27,1,1,1
28,-1,1,0
29,2,2,1
30,0,1,0
31,-2,1,0
32,-2,1,0
33,1,1,1
34,-2,3,0
35,-2,1,0
36,-1,2,0
37,-1,1,0
38,2,1,1
39,-2,1,0
40,-1,2,0
41,-1,1,0
42,-1,1,0
43,2,1,1
44,-1,1,0
45,1,1,1
46,-1,1,0
47,-1,1,0
48,-1,2,0
49,-1,1,0
50,1,1,1
51,-1,1,0
52,-1,1,0
53,-1,1,0
54,-1,1,0
55,1,1,1
56,-1,1,0
57,0,2,0
58,-1,2,0
59,-2,1,0
60,-1,2,0
61,-2,1,0
62,1,2,1
63,-2,1,0
64,-1,1,0
65,-1,2,0
66,-1,1,0
67,1,1,1
68,-1,1,0
69,-1,1,0
70,1,1,1
71,-1,1,0
72,1,1,1
73,-2,1,0
74,-1,1,0
75,-2,1,0
76,2,1,1
77,2,1,1
78,1,1,1
79,2,1,1
80,1,1,1
81,-1,1,0
82,-1,1,0
83,-2,1,0
84,0,1,0
85,-1,1,0
86,0,3,0
87,-1,1,0
88,-1,1,0
89,1,2,1
90,-1,2,0
91,-2,1,0
92,-1,1,0
93,1,2,1
94,-1,1,0
95,-1,1,0
96,-1,1,0
97,-2,1,0
98,-2,1,0
99,-1,1,0
100,0,1,0
101,0,2,0
102,-1,2,0
103,2,1,1
104,1,1,1
105,-1,1,0
106,-1,1,0
107,-2,1,0
108,-1,2,0
109,-1,2,0
110,2,1,1
111,1,1,1
112,-1,1,0
113,1,2,1
114,2,1,1
115,-1,2,0
116,-1,2,0
117,-2,1,0
118,-1,1,0
119,-2,1,0
120,2,1,1
121,2,1,1
122,1,1,1
123,-1,1,0
124,-2,1,0
125,-2,1,0
126,-1,1,0
127,-2,1,0
128,-2,1,0
129,-1,2,0
130,1,1,1
131,2,1,1
132,2,1,1
133,2,1,1
134,1,1,1
135,1,1,1
136,-2,3,0
137,-2,1,0
138,0,1,0
139,-1,1,0
140,-2,1,0
141,-1,1,0
142,2,1,1
143,-1,1,0
144,-1,1,0
145,-1,1,0
146,-1,1,0
147,-1,1,0
148,1,1,1
149,-1,3,0
150,-2,1,0
151,0,1,0
152,-1,1,0
153,-2,1,0
154,1,2,1
155,-1,2,0
156,-1,1,0
157,1,1,1
158,2,1,1
159,-2,1,0
160,-2,1,0
