episode,total_reward,steps,win
1,2,1,1
2,-1,3,0
3,2,1,1
4,2,1,1
5,2,3,1
6,-2,1,0
7,-1,1,0
8,1,1,1
9,-1,1,0
10,-2,1,0
11,2,1,1
12,1,1,1
13,-1,1,0
14,1,1,1
15,2,1,1
16,-1,1,0
17,-1,1,0
18,-1,1,0
19,-1,1,0
20,1,1,1
21,-1,1,0
22,-2,1,0
23,1,1,1
24,1,1,1
25,-1,1,0
26,-1,2,0
27,1,1,1
28,-1,2,0
29,-2,1,0
30,-2,1,0
31,-1,1,0
32,-1,1,0
33,-1,1,0
34,-2,2,0
35,-2,2,0
36,-2,1,0
37,-2,1,0
38,1,1,1
39,-1,2,0
40,-2,2,0
41,-2,1,0
42,2,1,1
43,1,2,1
44,0,1,0
45,1,1,1
46,-2,1,0
47,-1,1,0
48,-2,1,0
49,-1,1,0
50,-2,1,0
51,1,1,1
52,-1,1,0
53,1.5,1,1
54,-1,1,0
55,-1,1,0
56,-2,1,0
57,1,1,1
58,-2,1,0
59,1.5,1,1
60,1,2,1
61,-1,1,0
62,-2,1,0
63,-1,1,0
64,-1,1,0
65,-1,2,0
66,-1,2,0
67,-1,1,0
68,1,1,1
69,-1,1,0
70,1,1,1
71,-1,2,0
72,1,1,1
73,-1,1,0
74,-2,1,0
75,-2,1,0
76,1,1,1
77,1,2,1
78,-2,1,0
79,-1,1,0
80,2,1,1
81,-1,1,0
82,2,1,1
83,-1,1,0
84,-1,2,0
85,-1,1,0
86,-2,1,0
87,-1,1,0
88,-1,2,0
89,-1,1,0
90,-2,1,0
91,-1,1,0
92,1,2,1
93,-1,1,0
94,2,2,1
95,-1,1,0
96,-1,1,0
97,-2,1,0
98,-1,1,0
99,-2,1,0
100,-2,1,0
101,2,1,1
102,1,1,1
103,-1,1,0
104,-2,2,0
105,-1,1,0
106,-2,2,0
107,-1,1,0
108,-2,1,0
109,1,1,1
110,1,1,1
111,-1,1,0
112,-2,1,0
113,1,2,1
114,-2,1,0
115,-1,2,0
116,-2,2,0
117,-2,1,0
118,1,1,1
119,2,2,1
120,-1,1,0
121,1,1,1
122,-1,1,0
123,-1,2,0
124,-1,1,0
125,0,1,0
126,-1,2,0
127,-1,2,0
128,1,1,1
129,-2,2,0
130,-1,1,0
131,-1,1,0
132,-1,1,0
133,1,1,1
134,-2,1,0
135,1,1,1
136,-2,1,0
137,-1,1,0
138,-1,1,0
139,-1,1,0
140,-1,1,0
141,-1,1,0
142,-2,2,0
143,1,1,1
144,-2,2,0
145,1,2,1
146,0,1,0
147,-1,1,0
148,2,1,1
149,-1,1,0
150,-1,1,0
151,-2,1,0
152,0,1,0
153,-2,1,0
154,-1,2,0
155,-2,1,0
156,-1,2,0
157,-1,2,0
158,-1,1,0
159,-1,1,0
160,2,1,1
161,-1,2,0
162,-1,1,0
163,-1,1,0
164,-1,1,0
165,-1,1,0
166,-1,1,0
167,-1,1,0
168,-2,1,0
169,-1,1,0
170,-1,1,0
171,1.5,1,1
172,-2,1,0
173,-2,1,0
174,-1,2,0
175,0,1,0
176,-2,1,0
177,-2,1,0
178,-2,3,0
179,1,1,1
180,-1,1,0
181,-1,1,0
182,2,1,1
183,1,1,1
184,-1,1,0
185,-1,1,0
186,-1,1,0
187,-2,1,0
188,1,1,1
189,-2,1,0
190,-1,1,0
191,2,1,1
192,-2,1,0
193,1,2,1
194,-2,1,0
195,-2,2,0
196,-1,1,0
197,1,1,1
198,-2,1,0
199,-1,2,0
200,-1,1,0
201,-1,1,0
202,-1,2,0
203,-1,1,0
204,-1,2,0
205,1,1,1
206,-2,1,0
207,-1,1,0
208,-2,1,0
209,-2,1,0
210,-1,2,0
