episode,total_reward,steps,win
1,-2,1,0
2,-2,2,0
3,-2,2,0
4,-2,1,0
5,-1,1,0
6,-1,2,0
7,2,1,1
8,-1,1,0
9,-1,2,0
10,-2,1,0
11,-1,1,0
12,-2,1,0
13,-2,1,0
14,1.5,1,1
15,-1,1,0
16,1,1,1
17,-2,1,0
18,1,3,1
19,-1,1,0
20,-1,1,0
21,-1,1,0
22,-2,1,0
23,1,1,1
24,2,2,1
25,-1,1,0
26,-1,2,0
27,2,2,1
28,-2,2,0
29,2,1,1
30,-1,1,0
31,1,1,1
32,-2,1,0
33,1,1,1
34,-1,1,0
35,1,1,1
36,1,1,1
37,-1,1,0
38,1,1,1
39,1,1,1
40,-2,1,0
41,-1,1,0
42,-2,1,0
43,2,1,1
44,1,1,1
45,1,2,1
46,-2,1,0
47,-1,1,0
48,-2,1,0
49,-1,2,0
50,-2,1,0
51,1,1,1
52,1,1,1
53,1,1,1
54,-1,1,0
55,1,1,1
56,-1,1,0
57,-2,1,0
58,-2,1,0
59,-1,1,0
60,-1,1,0
61,-1,2,0
62,-2,2,0
63,1,1,1
64,-1,1,0
65,2,1,1
66,1,2,1
67,-1,1,0
68,-1,1,0
69,-1,1,0
70,-1,1,0
71,0,1,0
72,-2,1,0
73,-1,1,0
74,1,1,1
75,-1,1,0
76,-1,1,0
77,0,1,0
78,-1,2,0
79,-2,1,0
80,-2,2,0
81,2,2,1
82,1,1,1
83,-1,1,0
84,-1,1,0
85,1,1,1
86,1,1,1
87,-1,1,0
88,-1,1,0
89,1,2,1
90,-1,1,0
91,-2,1,0
92,1,3,1
93,-1,1,0
94,1,2,1
95,-1,1,0
96,-1,1,0
97,1,1,1
98,-1,1,0
99,-1,1,0
100,1,1,1
101,-2,1,0
102,-1,1,0
103,-1,1,0
104,-1,1,0
105,-1,1,0
106,-1,1,0
107,-1,1,0
108,1,1,1
109,0,1,0
110,-1,1,0
111,-2,1,0
112,-2,1,0
113,0,1,0
114,-1,1,0
115,-1,1,0
116,-1,1,0
117,1,1,1
118,1,2,1
119,1,1,1
120,-1,1,0
121,-2,1,0
122,-1,1,0
123,-2,1,0
124,-1,1,0
125,-2,1,0
126,1,2,1
127,1,1,1
128,-1,1,0
129,-1,1,0
130,-1,1,0
131,-1,1,0
132,-1,1,0
133,-1,1,0
134,-1,2,0
135,1.5,1,1
136,-1,1,0
137,0,1,0
138,1,1,1
139,-1,1,0
140,1,1,1
141,-1,1,0
142,-2,1,0
143,-2,2,0
144,-1,1,0
145,2,2,1
146,-2,1,0
147,1,1,1
148,-1,1,0
149,1,1,1
150,-1,2,0
151,-1,1,0
152,-1,1,0
153,1,2,1
154,-1,1,0
155,-1,1,0
156,-1,1,0
157,1,1,1
158,0,1,0
159,1,1,1
160,-2,1,0
161,-1,1,0
162,0,1,0
163,-2,1,0
164,1,1,1
165,0,1,0
166,1,1,1
167,0,1,0
168,-1,1,0
169,-1,1,0
170,1.5,1,1
171,-1,2,0
172,1,1,1
173,2,1,1
174,-1,1,0
175,1,2,1
176,-2,2,0
177,-1,1,0
178,-1,1,0
179,-1,1,0
180,-1,1,0
181,-2,2,0
182,-1,1,0
183,1,1,1
184,1,2,1
185,-1,1,0
186,1,1,1
187,-1,1,0
188,-1,1,0
189,1,1,1
190,-2,2,0
191,-2,1,0
192,2,1,1
193,2,1,1
194,-2,2,0
195,1,1,1
196,1,1,1
197,-1,1,0
198,1,1,1
199,-1,2,0
200,1,1,1
201,-1,1,0
202,-1,1,0
203,2,1,1
204,-2,2,0
205,0,1,0
206,2,1,1
207,1,2,1
208,0,2,0
209,-2,1,0
210,1,1,1
211,-1,1,0
212,1.5,1,1
213,1,1,1
214,-1,1,0
215,-2,2,0
216,-1,1,0
217,1,1,1
218,-1,1,0
219,-1,1,0
220,1,1,1
221,1,1,1
222,1,1,1
223,-1,1,0
224,2,1,1
225,1,1,1
226,-2,1,0
227,-1,1,0
228,-1,3,0
229,1,1,1
230,-1,1,0
231,1,1,1
232,-1,1,0
233,-1,1,0
234,-1,1,0
235,-1,1,0
236,-1,1,0
237,-1,1,0
238,1,1,1
239,1,3,1
240,-2,1,0
241,-1,1,0
242,-1,1,0
243,2,1,1
244,-1,1,0
245,-1,1,0
246,-1,1,0
247,-1,1,0
248,1,1,1
249,1,2,1
250,1,2,1
251,1.5,1,1
252,-1,1,0
253,1,2,1
254,1,1,1
255,1,1,1
256,1,1,1
257,-2,2,0
258,1,1,1
259,2,2,1
260,-1,1,0
261,1,1,1
262,2,1,1
263,1,1,1
264,-1,1,0
265,1.5,1,1
266,-1,1,0
267,-2,1,0
268,0,1,0
269,-2,2,0
270,-1,1,0
271,-1,1,0
272,1,2,1
273,-1,1,0
274,1,1,1
275,1,1,1
276,0,1,0
277,0,1,0
278,-2,1,0
279,-1,1,0
280,1,1,1
281,-1,1,0
282,1,2,1
283,1,2,1
284,1,1,1
285,-2,1,0
286,-1,1,0
287,1,1,1
288,-1,2,0
289,-1,1,0
290,0,1,0
291,2,1,1
292,1,1,1
293,-1,1,0
294,-2,1,0
295,1,1,1
296,-1,2,0
297,0,1,0
298,1,1,1
299,1.5,1,1
300,1,2,1
301,-2,2,0
302,0,2,0
303,-1,1,0
304,-2,1,0
305,-1,1,0
306,1.5,1,1
307,1.5,1,1
308,-2,1,0
309,1,1,1
310,-1,1,0
311,-1,1,0
312,-1,2,0
313,-1,1,0
314,-1,1,0
315,-1,1,0
316,1,1,1
317,2,1,1
318,1,1,1
319,1,1,1
320,1,1,1
321,2,1,1
322,-1,1,0
323,-2,1,0
324,-1,1,0
325,-1,1,0
326,-1,1,0
327,-1,1,0
328,1,2,1
329,-1,1,0
330,-1,2,0
331,-1,1,0
332,1,1,1
333,1,1,1
334,-1,1,0
335,1.5,1,1
336,-1,1,0
337,-1,1,0
338,2,1,1
339,-1,1,0
340,1.5,1,1
341,-1,1,0
342,-1,1,0
343,2,1,1
344,-1,1,0
345,-2,2,0
346,0,1,0
347,0,1,0
348,2,1,1
349,-1,1,0
350,0,2,0
351,-1,1,0
352,1.5,1,1
353,1,2,1
354,-1,2,0
355,-2,1,0
356,-2,1,0
357,-2,2,0
358,1,2,1
359,2,2,1
360,-2,2,0
361,-1,1,0
362,1,2,1
363,-1,1,0
364,0,1,0
365,-1,1,0
366,1,3,1
367,-1,1,0
368,1,1,1
369,1,1,1
370,-2,1,0
371,1.5,1,1
372,-1,1,0
373,-2,1,0
374,-1,1,0
375,-2,1,0
376,1,2,1
377,-1,1,0
378,-2,1,0
379,1,1,1
380,1,1,1
381,-1,2,0
382,-1,2,0
383,-2,1,0
384,-1,2,0
385,1,1,1
386,1,1,1
387,-1,1,0
388,-1,1,0
389,-1,1,0
390,0,1,0
391,1,1,1
392,-1,1,0
393,-1,1,0
394,-1,1,0
395,2,1,1
396,-1,1,0
397,-1,1,0
398,1,2,1
399,-1,1,0
400,0,2,0
401,0,1,0
402,-2,1,0
403,1,2,1
404,-1,1,0
405,2,1,1
406,2,1,1
407,-1,2,0
408,1,2,1
409,1,1,1
410,1,1,1
411,0,1,0
412,1.5,1,1
413,-1,1,0
414,-1,1,0
415,-1,1,0
416,-1,1,0
417,0,1,0
418,-1,1,0
419,-1,2,0
420,1,2,1
421,0,1,0
422,-1,1,0
423,-1,1,0
424,1,1,1
425,2,1,1
426,-1,2,0
427,2,2,1
428,1,1,1
429,1.5,1,1
430,-1,1,0
431,-2,1,0
432,0,1,0
433,-1,1,0
434,1,1,1
435,1,1,1
436,-1,1,0
437,-2,1,0
438,1,1,1
439,1,3,1
440,1,1,1
441,-1,2,0
442,1,2,1
443,-1,2,0
444,-1,1,0
445,2,1,1
446,1,1,1
447,-2,1,0
448,-1,1,0
449,1,2,1
450,-1,1,0
451,-1,1,0
452,1,2,1
453,1,1,1
454,1,1,1
455,1,1,1
456,-1,1,0
457,-2,1,0
458,1.5,1,1
459,-1,2,0
460,-2,1,0
461,-1,1,0
462,-1,1,0
463,-1,2,0
464,-1,1,0
465,-1,2,0
466,-1,1,0
467,2,1,1
468,-2,1,0
469,1,2,1
470,2,1,1
471,-2,1,0
472,2,1,1
473,-1,2,0
474,-2,1,0
475,1,1,1
476,-1,2,0
477,-1,1,0
478,0,1,0
479,1,4,1
480,-2,2,0
481,-2,1,0
482,-2,3,0
483,1,1,1
484,-1,2,0
485,2,1,1
486,2,1,1
487,1,1,1
488,2,1,1
489,1.5,1,1
490,-1,1,0
491,1,1,1
492,-2,1,0
493,-1,1,0
494,1,2,1
495,1.5,1,1
496,1,1,1
497,-2,1,0
498,1,1,1
499,2,1,1
500,-1,1,0
501,-1,1,0
502,1,1,1
503,-1,1,0
504,-1,1,0
505,-2,1,0
506,-1,1,0
507,2,1,1
508,1,1,1
509,1,3,1
510,-1,1,0
511,-1,1,0
512,1,1,1
513,-1,1,0
514,-2,1,0
515,-1,1,0
516,-1,1,0
517,1.5,1,1
518,1,1,1
519,1,1,1
520,-2,1,0
521,1,1,1
522,2,1,1
523,0,1,0
524,-1,1,0
525,1,1,1
526,1,1,1
527,-1,1,0
528,-1,1,0
529,1,1,1
530,1,1,1
531,-2,1,0
532,1,1,1
533,-1,1,0
534,1,1,1
535,1,2,1
536,1,1,1
537,-1,2,0
538,-1,1,0
539,-1,1,0
540,1,2,1
541,1,4,1
542,-1,1,0
543,-1,1,0
544,0,1,0
545,-1,1,0
546,-1,2,0
547,0,1,0
548,1,1,1
549,-2,1,0
550,1,3,1
551,1,1,1
552,-2,1,0
553,0,1,0
554,-1,1,0
555,-2,2,0
556,1,2,1
557,1,1,1
558,-1,1,0
559,0,1,0
560,-2,1,0
561,1,1,1
562,1,2,1
563,-1,1,0
564,-1,1,0
565,-1,1,0
566,-1,2,0
567,-1,2,0
568,1,1,1
569,1,3,1
570,1.5,1,1
571,-1,3,0
572,1,1,1
573,1,2,1
574,2,1,1
575,0,1,0
576,1,1,1
577,1,3,1
578,-1,1,0
579,-1,1,0
580,1.5,1,1
581,2,1,1
582,-1,2,0
583,-2,1,0
584,-2,1,0
585,1,1,1
586,-1,1,0
587,1.5,1,1
588,0,2,0
589,-1,2,0
590,-1,2,0
591,-1,1,0
592,0,1,0
593,-2,1,0
594,1,2,1
595,-1,1,0
596,-1,2,0
597,-2,1,0
598,-1,1,0
599,-2,1,0
600,1,2,1
601,1,1,1
602,-1,2,0
603,-1,2,0
604,-2,1,0
605,0,1,0
606,-1,1,0
607,0,2,0
608,1,1,1
609,-1,1,0
610,1,1,1
611,-1,1,0
612,-1,1,0
613,1,2,1
614,-2,1,0
615,-1,1,0
616,-1,1,0
617,-1,2,0
618,-1,1,0
619,0,1,0
620,1,1,1
621,-1,1,0
622,1,2,1
623,0,2,0
624,-1,1,0
625,1,1,1
626,1,2,1
627,-1,1,0
628,-1,1,0
629,1,2,1
630,-1,1,0
631,-1,2,0
632,-1,1,0
633,-1,1,0
634,0,1,0
635,-1,2,0
636,-2,2,0
637,0,2,0
638,1,3,1
639,-1,1,0
640,-1,1,0
641,1,2,1
642,-1,1,0
643,-1,1,0
644,0,1,0
645,-1,1,0
646,-2,1,0
647,2,1,1
648,1.5,1,1
649,-1,1,0
650,-1,1,0
651,-1,2,0
652,-1,1,0
653,-1,3,0
654,1,1,1
655,0,1,0
656,-2,2,0
657,-1,1,0
658,2,1,1
659,-2,1,0
660,2,1,1
661,-2,1,0
662,1,3,1
663,-1,2,0
664,-1,1,0
665,-1,1,0
666,-1,1,0
667,2,1,1
668,1.5,1,1
669,0,1,0
670,-1,1,0
671,-1,2,0
672,2,1,1
673,-2,1,0
674,-1,2,0
675,1,1,1
676,-2,1,0
677,1,1,1
678,2,1,1
679,1.5,1,1
680,1,1,1
681,1,1,1
682,-1,1,0
683,-1,2,0
684,1,3,1
685,1,1,1
686,0,2,0
687,2,1,1
688,2,1,1
689,0,2,0
690,-1,1,0
691,-1,3,0
692,0,1,0
693,1.5,1,1
694,1,1,1
695,1,1,1
696,1,3,1
697,1,2,1
698,-1,2,0
699,1,1,1
700,1,2,1
701,1,1,1
702,1,2,1
703,0,1,0
704,0,2,0
705,-1,1,0
706,-1,4,0
707,1,1,1
708,-1,1,0
709,1,2,1
710,1,1,1
711,-1,2,0
712,-1,2,0
713,-1,1,0
714,1,1,1
715,1,1,1
716,-1,1,0
717,-1,1,0
718,-2,1,0
719,0,2,0
720,-2,2,0
721,1.5,1,1
722,1,2,1
723,-2,1,0
724,1,1,1
725,1,1,1
726,-1,2,0
727,1,1,1
728,-1,1,0
729,-1,2,0
730,-1,1,0
731,1,2,1
732,1,1,1
733,-1,3,0
734,1,1,1
735,-1,1,0
736,-1,1,0
737,-1,2,0
738,-2,2,0
739,1,1,1
740,-1,2,0
741,-2,2,0
742,-1,1,0
743,-2,3,0
744,-2,1,0
745,2,1,1
746,1,1,1
747,-1,1,0
748,-1,2,0
749,-1,2,0
750,1,1,1
751,1.5,1,1
752,1,1,1
753,-1,2,0
754,1,1,1
755,-1,1,0
756,-1,1,0
757,-1,1,0
758,-1,1,0
759,1,1,1
