episode,total_reward,steps,win
1,-1,1,0
2,-1,1,0
3,-1,1,0
4,-1,1,0
5,1,1,1
6,1,2,1
7,-1,1,0
8,-1,1,0
9,-1,1,0
10,0,4,0
11,-1,2,0
12,-1,1,0
13,-1,1,0
14,-1,1,0
15,1,1,1
16,-1,1,0
17,-1,1,0
18,-1,1,0
19,-1,1,0
20,-1,2,0
21,-1,1,0
22,1,1,1
23,-1,1,0
24,-1,1,0
25,-1,2,0
26,-1,1,0
27,-1,2,0
28,-1,1,0
29,-1,1,0
30,-1,1,0
31,-1,1,0
32,1,1,1
33,1,1,1
34,0,3,0
35,0,1,0
36,-1,1,0
37,-1,2,0
38,1,1,1
39,1,2,1
40,-1,1,0
41,-1,1,0
42,-1,1,0
43,-1,1,0
44,-1,1,0
45,-1,2,0
46,-1,1,0
47,-1,2,0
48,-1,1,0
49,1,1,1
50,-1,1,0
51,-1,2,0
52,-1,1,0
53,-1,2,0
54,-1,1,0
55,1,2,1
56,-1,2,0
57,-1,2,0
58,1,2,1
59,-1,1,0
60,1,1,1
61,-1,1,0
62,-1,1,0
63,1,1,1
64,-1,1,0
65,-1,1,0
66,-1,1,0
67,-1,1,0
68,-1,1,0
69,-1,1,0
70,0,1,0
71,-1,1,0
72,-1,4,0
73,-1,1,0
74,1,2,1
75,-1,1,0
76,-1,2,0
77,1,1,1
78,-1,1,0
79,-1,1,0
80,-1,1,0
81,-1,1,0
82,1,2,1
83,-1,1,0
84,1.5,1,1
85,-1,1,0
86,-1,2,0
87,-1,1,0
88,-1,2,0
89,-1,1,0
90,1,1,1
91,-1,2,0
92,1,1,1
93,-1,1,0
94,-1,1,0
95,-1,2,0
96,1.5,1,1
97,-1,2,0
98,-1,1,0
99,-1,2,0
100,-1,2,0
101,-1,1,0
102,1,1,1
103,1,2,1
104,1,1,1
105,-1,1,0
106,1,1,1
107,-1,1,0
108,1.5,1,1
109,-1,1,0
110,-1,1,0
111,-1,1,0
112,-1,2,0
113,-1,1,0
114,-1,1,0
115,-1,1,0
116,-1,1,0
117,1,1,1
118,-1,1,0
119,-1,1,0
120,-1,1,0
121,1,1,1
122,-1,1,0
123,1,3,1
124,-1,1,0
125,0,2,0
126,1,3,1
127,1,2,1
128,-1,1,0
129,-1,1,0
130,1,3,1
131,-1,1,0
132,-1,1,0
133,1,1,1
134,1,1,1
135,-1,2,0
136,-1,1,0
137,-1,1,0
138,-1,1,0
139,-1,1,0
140,-1,2,0
141,-1,1,0
142,-1,1,0
143,-1,3,0
144,-1,1,0
145,1,1,1
146,0,2,0
147,-1,1,0
148,1,1,1
149,-1,2,0
150,-1,2,0
151,1,1,1
152,1,2,1
153,-1,1,0
154,-1,1,0
155,-1,1,0
156,1,1,1
157,1,1,1
158,0,2,0
159,-1,3,0
160,-1,1,0
161,-1,1,0
162,-1,1,0
163,-1,1,0
164,1,1,1
165,-1,1,0
166,1,2,1
167,-1,2,0
168,1,1,1
169,-1,2,0
170,-1,1,0
171,-1,1,0
172,1,1,1
173,1,1,1
174,1,1,1
175,-1,1,0
176,-1,1,0
177,-1,1,0
178,0,3,0
179,-1,2,0
180,-1,1,0
181,1,1,1
182,-1,1,0
183,1,1,1
184,1,2,1
185,1,1,1
186,-1,2,0
187,0,1,0
188,-1,1,0
189,-1,1,0
190,1.5,1,1
191,-1,1,0
192,-1,1,0
193,-1,1,0
194,1,3,1
195,-1,1,0
196,1,3,1
197,-1,1,0
198,-1,1,0
199,1,1,1
200,1,1,1
201,1,2,1
202,1,2,1
203,-1,2,0
204,-1,1,0
205,0,1,0
206,-1,1,0
207,-1,2,0
208,1,1,1
209,-1,1,0
210,-1,1,0
211,1,2,1
212,1,1,1
213,-1,2,0
214,1,2,1
215,1,1,1
216,-1,1,0
217,1,2,1
218,1,2,1
219,-1,1,0
220,1,1,1
221,-1,1,0
222,-1,2,0
223,-1,1,0
224,-1,1,0
225,1.5,1,1
226,-1,1,0
227,-1,1,0
228,1,3,1
229,-1,1,0
230,-1,1,0
231,-1,1,0
232,-1,1,0
233,1,2,1
234,-1,1,0
235,-1,1,0
236,-1,1,0
237,-1,1,0
238,1,1,1
239,-1,1,0
240,-1,2,0
241,1,1,1
242,1,1,1
243,1,2,1
244,-1,2,0
245,-1,1,0
246,1,1,1
247,1,3,1
248,-1,1,0
249,-1,3,0
250,1,1,1
251,-1,1,0
252,-1,1,0
253,-1,1,0
254,0,1,0
255,-1,1,0
256,-1,2,0
257,-1,1,0
258,1,2,1
259,-1,1,0
260,-1,1,0
261,1,2,1
262,-1,2,0
263,-1,1,0
264,-1,2,0
265,1,1,1
266,1,1,1
267,-1,1,0
268,1,2,1
269,0,2,0
270,-1,2,0
271,-1,1,0
272,-1,1,0
273,-1,1,0
274,-1,1,0
275,-1,3,0
276,-1,1,0
277,-1,1,0
278,-1,3,0
279,-1,1,0
280,-1,1,0
281,-1,2,0
282,-1,2,0
283,-1,2,0
284,-1,1,0
285,1,1,1
286,-1,1,0
287,1,1,1
288,-1,1,0
289,1,2,1
290,-1,1,0
291,-1,1,0
292,-1,1,0
293,1,2,1
294,0,1,0
295,1,1,1
296,-1,1,0
297,1,4,1
298,-1,1,0
299,-1,2,0
300,1,2,1
301,-1,1,0
302,1,1,1
303,1.5,1,1
304,-1,2,0
305,-1,2,0
306,-1,2,0
307,-1,1,0
308,1,1,1
309,-1,3,0
310,1,1,1
311,1,1,1
312,1,1,1
313,-1,1,0
314,-1,1,0
315,1,1,1
316,1,1,1
317,0,1,0
318,-1,2,0
319,-1,1,0
320,-1,1,0
321,1,1,1
322,-1,2,0
323,1.5,1,1
324,1,1,1
325,-1,1,0
326,-1,1,0
327,-1,1,0
328,0,1,0
329,-1,1,0
330,-1,1,0
331,-1,3,0
332,-1,1,0
333,-1,3,0
