episode,total_reward,steps,win
1,-1,1,0
2,1,2,1
3,-2,1,0
4,-2,2,0
5,-2,2,0
6,-1,1,0
7,-1,1,0
8,-2,1,0
9,-1,1,0
10,-1,2,0
11,1,2,1
12,-2,1,0
13,-1,1,0
14,-2,1,0
15,1,1,1
16,-2,1,0
17,-2,1,0
18,-1,1,0
19,-1,1,0
20,-1,1,0
21,-2,1,0
22,-1,1,0
23,2,1,1
24,-1,2,0
25,-1,1,0
26,-1,1,0
27,-1,1,0
28,-1,1,0
29,-1,2,0
30,-1,1,0
31,-1,2,0
32,-2,1,0
33,-2,1,0
34,1,1,1
35,2,1,1
36,-2,1,0
37,-1,1,0
38,2,1,1
39,-1,2,0
40,-2,1,0
41,-1,2,0
42,-1,1,0
43,-2,1,0
44,-2,2,0
45,-1,1,0
46,0,1,0
47,-1,1,0
48,1,1,1
49,-2,1,0
50,-1,2,0
51,-2,1,0
52,-2,1,0
53,1,1,1
54,1.5,1,1
55,-2,2,0
56,0,2,0
57,1,2,1
58,1,1,1
59,-2,1,0
60,2,1,1
61,1,1,1
62,0,1,0
63,1,1,1
64,-2,1,0
65,-1,1,0
66,-2,1,0
67,-1,1,0
68,-1,2,0
69,1,1,1
70,1,2,1
71,-2,1,0
72,-2,2,0
73,-1,2,0
74,-1,2,0
75,-1,1,0
76,1,1,1
77,-1,2,0
78,-1,2,0
79,1,1,1
80,2,1,1
81,-1,1,0
82,-1,1,0
83,-2,1,0
84,2,1,1
85,1,1,1
86,-1,1,0
87,-2,1,0
88,-1,1,0
89,0,1,0
90,-2,2,0
91,1.5,1,1
92,1,1,1
93,-1,1,0
94,-1,1,0
95,1,1,1
96,-2,1,0
97,-2,1,0
98,-1,1,0
99,-1,1,0
100,-1,1,0
101,-1,1,0
102,-2,1,0
103,-1,1,0
104,-1,1,0
105,-1,1,0
106,-1,1,0
107,-2,1,0
108,2,1,1
109,-2,1,0
110,-2,2,0
111,-2,1,0
112,2,1,1
113,-1,1,0
114,1,1,1
115,1,2,1
116,-1,1,0
117,0,1,0
118,1,2,1
119,2,1,1
120,-1,2,0
121,2,1,1
122,-2,1,0
123,-1,1,0
124,1,1,1
125,-1,1,0
126,1,2,1
127,-1,1,0
128,-2,1,0
129,-1,1,0
130,1,1,1
131,0,2,0
132,-2,1,0
133,1.5,1,1
134,1,2,1
135,-1,1,0
136,-2,3,0
137,2,2,1
138,-1,1,0
139,-1,1,0
140,-1,1,0
141,-1,1,0
142,-2,1,0
143,-2,1,0
144,-1,1,0
145,-1,1,0
146,1,2,1
147,2,1,1
148,-2,1,0
149,2,1,1
150,-1,2,0
151,1,1,1
152,-1,2,0
153,-2,1,0
154,1,1,1
155,2,1,1
156,-1,1,0
157,2,1,1
158,0,1,0
159,2,1,1
160,-2,1,0
161,2,1,1
162,-1,1,0
163,2,1,1
164,1,1,1
165,-1,1,0
166,-1,1,0
167,-1,2,0
168,-2,1,0
169,-1,2,0
170,-2,1,0
171,-1,2,0
172,-2,1,0
173,-1,1,0
174,-1,1,0
175,2,1,1
176,-2,1,0
177,-1,1,0
178,-1,1,0
179,-2,1,0
180,-1,1,0
181,-2,2,0
182,2,1,1
183,-2,1,0
184,-1,1,0
185,-2,1,0
186,2,1,1
187,-2,1,0
188,-1,1,0
189,1,1,1
190,-1,1,0
191,-1,1,0
192,-2,1,0
193,-1,1,0
194,-2,1,0
195,2,1,1
196,-1,1,0
197,-1,1,0
198,-2,1,0
199,1,1,1
200,-1,1,0
201,-1,1,0
202,-1,1,0
203,1,1,1
204,-1,1,0
205,-1,2,0
206,1,1,1
207,-1,2,0
208,-1,1,0
209,-1,1,0
210,-1,1,0
211,-1,2,0
212,1,1,1
213,1,2,1
214,-1,1,0
215,-2,1,0
216,-1,1,0
217,2,2,1
218,-2,1,0
219,-2,1,0
220,-2,1,0
221,-1,1,0
222,1,2,1
223,1,1,1
224,-2,1,0
225,-1,1,0
226,-1,1,0
227,1,1,1
228,-1,2,0
229,-1,1,0
230,0,2,0
231,-2,1,0
232,1,1,1
233,-2,2,0
