episode,total_reward,steps,win
1,-2,2,0
2,-1,1,0
3,-1,1,0
4,-2,2,0
5,1,1,1
6,-2,1,0
7,2,1,1
8,-1,1,0
9,-1,1,0
10,2,1,1
11,-2,1,0
12,-2,1,0
13,1,1,1
14,-1,2,0
15,2,1,1
16,-2,1,0
17,-1,1,0
18,2,1,1
19,1,1,1
20,-1,1,0
21,-1,1,0
22,-1,1,0
23,2,3,1
24,-2,1,0
25,-1,1,0
26,0,1,0
27,-1,1,0
28,-2,1,0
29,-2,1,0
30,2,1,1
31,1,1,1
32,1,1,1
33,-1,1,0
34,-1,1,0
35,0,1,0
36,1,1,1
37,1,1,1
38,0,1,0
39,-1,1,0
40,-2,1,0
41,-1,1,0
42,1,1,1
43,-2,1,0
44,-1,1,0
45,-2,2,0
46,1,1,1
47,-2,2,0
48,0,1,0
49,0,1,0
50,-1,2,0
51,1,1,1
52,-1,1,0
53,1,1,1
54,-1,1,0
55,1,1,1
56,-1,1,0
57,1,2,1
58,1,1,1
59,-1,1,0
60,-1,1,0
61,-1,1,0
62,-1,1,0
63,-2,1,0
64,1,1,1
65,-1,1,0
66,1,1,1
67,1,1,1
68,-1,1,0
69,-2,1,0
70,-1,1,0
71,-1,1,0
72,1,1,1
73,-1,1,0
74,-1,1,0
75,-1,2,0
76,1,1,1
77,-1,1,0
78,2,1,1
79,2,1,1
80,1,2,1
81,-1,1,0
82,0,1,0
83,-2,1,0
84,-1,1,0
85,-1,1,0
86,-1,1,0
87,-1,1,0
88,-1,2,0
89,-1,2,0
90,-2,1,0
91,-1,1,0
92,-2,1,0
93,1.5,1,1
94,2,1,1
95,-2,2,0
96,0,1,0
97,-2,1,0
98,1,1,1
99,1,1,1
100,-1,1,0
101,1,1,1
102,-1,1,0
103,-1,1,0
104,-1,1,0
105,-2,1,0
106,1,1,1
107,1,1,1
108,1.5,1,1
109,-1,1,0
110,-1,1,0
111,-1,1,0
112,-1,1,0
113,-1,1,0
114,-1,1,0
115,-1,1,0
116,-2,1,0
117,1,1,1
118,-1,3,0
119,-2,1,0
120,1,1,1
121,1,1,1
122,-1,2,0
123,-1,1,0
124,-1,1,0
125,-1,1,0
126,1,2,1
127,-1,1,0
128,-1,1,0
129,-1,2,0
130,-1,1,0
131,-1,1,0
132,1,1,1
133,1,1,1
134,-1,1,0
135,-1,1,0
136,-1,1,0
137,1,1,1
138,-1,2,0
139,1,1,1
140,-1,1,0
141,-2,1,0
142,1,2,1
143,1,1,1
144,2,2,1
145,-1,1,0
146,-1,1,0
147,-1,2,0
148,-2,1,0
149,2,1,1
150,-2,1,0
151,2,1,1
152,-1,1,0
153,-2,1,0
154,-1,1,0
155,-1,1,0
156,1,1,1
157,-2,1,0
158,-1,1,0
159,1.5,1,1
160,0,1,0
161,-1,1,0
162,-1,1,0
163,-1,1,0
164,-2,1,0
165,-2,2,0
166,2,1,1
167,1.5,1,1
168,-2,1,0
169,-1,1,0
170,-1,1,0
171,-2,2,0
172,-2,2,0
173,1,1,1
174,-1,1,0
175,-1,1,0
176,1,3,1
177,-1,1,0
178,-1,1,0
179,-2,1,0
180,1,1,1
181,-1,1,0
182,2,1,1
183,-2,1,0
184,1,1,1
185,1,1,1
186,-1,1,0
187,-1,1,0
188,0,2,0
189,-2,2,0
190,-1,2,0
191,-1,1,0
192,-1,1,0
193,2,2,1
194,-1,1,0
195,-1,1,0
196,1,1,1
197,-2,1,0
198,-1,2,0
199,1,1,1
200,-1,1,0
201,2,1,1
202,-2,1,0
203,0,1,0
204,1,1,1
205,-1,1,0
206,-1,2,0
207,-1,1,0
208,1,1,1
209,2,1,1
210,1.5,1,1
211,-1,1,0
212,1,1,1
213,1,1,1
214,-1,1,0
215,1.5,1,1
216,1,1,1
217,1,1,1
218,1,1,1
219,1,1,1
220,1,2,1
221,-2,1,0
222,-1,1,0
223,0,1,0
224,0,1,0
225,1,1,1
226,1,1,1
227,-1,1,0
228,1,1,1
229,2,2,1
230,-2,2,0
231,-1,1,0
232,-1,1,0
233,-1,2,0
234,1.5,1,1
235,-2,1,0
236,-1,1,0
237,-1,1,0
238,1,2,1
239,-1,1,0
240,2,1,1
241,1,1,1
242,-1,1,0
243,-1,1,0
244,-2,1,0
245,-1,1,0
246,2,1,1
247,1,1,1
248,2,1,1
249,-1,1,0
250,-1,1,0
251,1,2,1
252,0,1,0
253,2,1,1
254,-2,1,0
255,-2,1,0
256,-1,1,0
257,-2,2,0
258,-2,1,0
259,2,1,1
260,1,2,1
261,-1,1,0
262,1,1,1
263,-1,1,0
264,1,1,1
265,-1,1,0
266,-1,1,0
267,-1,1,0
268,1,1,1
269,-1,2,0
270,0,1,0
271,-2,2,0
272,2,1,1
273,-2,1,0
274,-1,1,0
275,-1,1,0
276,-1,3,0
277,0,2,0
278,-1,1,0
279,1,1,1
280,0,1,0
281,2,1,1
282,-2,1,0
283,-2,1,0
284,1,1,1
285,-2,1,0
286,1,1,1
287,2,1,1
288,-1,1,0
289,-1,3,0
290,1,1,1
291,1,1,1
292,1,1,1
293,-1,1,0
294,-1,1,0
295,-1,1,0
296,-1,2,0
297,-2,1,0
298,1,2,1
299,1,1,1
300,-2,1,0
301,1,1,1
302,-1,1,0
303,0,1,0
304,-1,1,0
305,-2,1,0
306,1,2,1
307,-2,1,0
308,1,1,1
309,2,2,1
310,-1,1,0
311,0,1,0
312,-1,1,0
313,2,1,1
314,1,1,1
315,-1,2,0
316,1,1,1
317,-2,1,0
318,1,1,1
319,-1,1,0
320,-1,2,0
321,-2,1,0
322,-1,1,0
323,-1,1,0
324,-1,1,0
325,1,3,1
326,1,2,1
327,-1,1,0
328,1,1,1
329,1,1,1
330,-1,1,0
331,0,1,0
332,1,1,1
333,1,1,1
334,-2,1,0
335,-1,1,0
336,-2,1,0
337,1,2,1
338,-2,1,0
339,1,2,1
340,1,2,1
341,0,1,0
342,1,1,1
343,-1,1,0
344,-1,1,0
345,-1,2,0
346,-1,1,0
347,-1,1,0
348,1.5,1,1
349,1,1,1
350,1,1,1
351,-1,1,0
352,-1,1,0
353,1,1,1
354,-1,2,0
355,-1,2,0
356,1.5,1,1
357,1,1,1
358,-2,1,0
359,1,1,1
360,2,1,1
361,1,1,1
362,2,2,1
363,1,2,1
364,-1,1,0
365,2,1,1
366,-1,1,0
367,0,1,0
368,1,1,1
369,-1,1,0
370,-1,1,0
371,1,1,1
372,-2,1,0
373,-1,1,0
374,1,1,1
375,-1,2,0
376,1,1,1
377,-1,1,0
378,-1,1,0
379,-1,1,0
380,1,1,1
381,-2,1,0
382,1,2,1
383,2,1,1
384,-1,1,0
385,1,2,1
386,-1,1,0
387,-2,1,0
388,1,1,1
389,1,1,1
390,-1,1,0
391,-1,1,0
392,1,1,1
393,-1,2,0
394,-1,1,0
395,-2,2,0
396,-1,1,0
397,1.5,1,1
398,-2,1,0
399,-1,1,0
400,0,2,0
401,-1,1,0
402,1,1,1
403,1,1,1
404,1,1,1
405,1,1,1
406,-2,1,0
407,1,2,1
408,-1,1,0
409,-1,1,0
410,-2,1,0
411,0,1,0
412,-1,2,0
413,1,3,1
414,-2,1,0
415,-1,1,0
416,1,1,1
417,-1,1,0
418,-1,1,0
419,-1,1,0
420,-1,1,0
421,-1,1,0
422,0,1,0
423,-2,1,0
424,1,1,1
425,1,1,1
426,1,1,1
427,1,1,1
428,2,1,1
429,1,1,1
430,-1,1,0
431,1,1,1
432,-2,1,0
433,-1,1,0
434,1,1,1
435,1,1,1
436,1,1,1
437,-1,1,0
438,1,1,1
439,-1,1,0
440,-1,1,0
441,-1,1,0
442,-2,2,0
443,1,1,1
444,2,1,1
445,-1,1,0
446,-1,1,0
447,-1,1,0
448,-1,1,0
449,1.5,1,1
450,-1,2,0
451,1,2,1
452,-1,2,0
453,1.5,1,1
454,-2,1,0
455,1,1,1
456,-1,1,0
457,-1,1,0
458,-1,2,0
459,-2,1,0
460,-1,2,0
461,1,1,1
462,1,1,1
463,-2,1,0
464,-1,1,0
465,-1,1,0
466,1,1,1
467,-2,1,0
468,1,1,1
469,-1,1,0
470,-1,2,0
471,-2,2,0
472,1,1,1
473,0,1,0
474,1,1,1
475,-1,1,0
476,0,1,0
477,1,1,1
478,1,2,1
479,-1,2,0
480,0,1,0
481,1,1,1
482,-1,1,0
483,1,1,1
484,-1,3,0
485,1,1,1
486,1,2,1
487,-1,1,0
488,1,1,1
489,1.5,1,1
490,1,1,1
491,1,1,1
492,-1,1,0
493,-1,1,0
494,1,3,1
495,1,1,1
496,1,3,1
497,1,1,1
498,0,2,0
499,1,2,1
500,1,2,1
501,0,2,0
502,1,1,1
503,-1,1,0
504,1,1,1
505,1,1,1
506,1,1,1
507,-1,1,0
508,1,1,1
509,-1,1,0
510,2,1,1
511,-2,2,0
512,1,1,1
513,-1,1,0
514,1,2,1
515,1,2,1
516,0,1,0
517,-1,1,0
518,-1,1,0
519,-1,1,0
520,1.5,1,1
521,1,1,1
522,-1,2,0
523,-1,1,0
524,-1,1,0
525,1,2,1
526,-1,2,0
527,-1,1,0
528,-1,2,0
529,-2,1,0
530,-1,1,0
531,1.5,1,1
532,1,2,1
533,-2,1,0
534,1,2,1
535,1,1,1
536,1,2,1
537,-1,1,0
538,-1,2,0
539,-1,2,0
540,-2,1,0
541,-1,3,0
542,-1,1,0
543,2,1,1
544,0,2,0
545,1.5,1,1
546,-1,1,0
547,-1,1,0
548,-1,2,0
549,0,2,0
550,1,1,1
551,1.5,1,1
552,-1,1,0
553,-2,1,0
554,-1,2,0
555,0,1,0
556,-1,1,0
557,0,2,0
558,-1,1,0
559,1,1,1
560,1.5,1,1
561,-1,1,0
562,-1,1,0
563,-2,1,0
564,2,1,1
565,-1,2,0
566,-2,1,0
567,-1,3,0
568,-1,1,0
569,0,1,0
570,0,1,0
571,1,2,1
572,1,1,1
573,1,1,1
574,-1,2,0
575,1,1,1
576,-1,1,0
577,0,1,0
578,1,2,1
579,-1,1,0
580,-1,1,0
581,1,1,1
582,-1,1,0
583,-1,1,0
584,-1,2,0
585,1,1,1
586,1,1,1
587,-1,1,0
588,1,2,1
589,1,1,1
590,0,1,0
591,-2,1,0
592,0,1,0
593,-1,2,0
594,-1,1,0
595,-1,1,0
596,-1,1,0
597,1,1,1
598,-2,1,0
599,1,1,1
600,-1,1,0
601,-1,2,0
602,-1,1,0
603,-1,1,0
604,-1,2,0
605,-1,1,0
606,-1,1,0
607,-1,1,0
608,-1,1,0
609,1.5,1,1
610,-2,1,0
611,-2,1,0
612,2,1,1
613,-1,2,0
614,-1,1,0
615,1,1,1
616,1,1,1
617,1,1,1
618,-1,1,0
619,-2,1,0
620,-2,2,0
621,-1,2,0
622,-1,1,0
623,-1,1,0
624,1,2,1
625,-1,1,0
626,-1,1,0
627,-1,1,0
628,-1,1,0
629,-1,1,0
630,-2,2,0
631,2,1,1
632,-1,1,0
633,-2,1,0
634,-1,2,0
635,1,2,1
636,1.5,1,1
637,-1,1,0
638,1,1,1
639,1,1,1
640,1,1,1
641,1,1,1
642,-1,1,0
643,1,2,1
644,-1,1,0
645,-1,1,0
646,-2,1,0
647,-1,3,0
648,0,1,0
649,-1,1,0
650,-2,1,0
651,-1,1,0
652,-1,2,0
653,-1,2,0
654,1.5,1,1
655,-1,2,0
656,1,1,1
657,1,2,1
658,0,1,0
659,2,1,1
660,1.5,1,1
661,1,2,1
662,-1,1,0
663,0,1,0
664,0,1,0
665,0,1,0
666,1,2,1
667,1,1,1
668,-1,1,0
669,-1,1,0
670,0,1,0
671,1,1,1
672,1,1,1
673,-1,2,0
674,1,2,1
675,-1,1,0
676,-1,1,0
677,-1,1,0
678,1,1,1
679,1,2,1
680,1,1,1
681,-1,2,0
682,1,1,1
683,1,2,1
684,-1,2,0
685,-2,1,0
686,-1,1,0
687,-2,1,0
688,-1,1,0
689,-1,1,0
690,1,1,1
691,0,1,0
692,2,1,1
693,-1,2,0
694,-1,1,0
695,-1,1,0
696,-1,1,0
697,-1,1,0
698,-1,1,0
699,1,1,1
700,-2,2,0
701,1,2,1
702,-1,2,0
703,-1,1,0
704,-1,1,0
705,-2,1,0
706,1,1,1
707,1,1,1
708,0,2,0
709,-2,1,0
710,-1,1,0
711,-2,1,0
712,0,3,0
713,0,1,0
714,-2,1,0
715,1,1,1
716,1,1,1
717,0,2,0
718,-1,1,0
719,-1,2,0
720,0,1,0
721,-1,1,0
722,1,1,1
723,-1,1,0
724,1,1,1
725,1,2,1
726,1,2,1
727,1,1,1
728,0,1,0
729,1,2,1
730,1,2,1
731,-2,1,0
732,0,1,0
733,-2,1,0
734,-1,1,0
735,-2,1,0
736,-1,1,0
737,-1,1,0
738,1,1,1
739,-1,1,0
740,1,2,1
741,1,2,1
742,1.5,1,1
743,1,1,1
744,-1,1,0
745,-1,2,0
746,-1,3,0
747,-1,2,0
748,1,1,1
749,1,1,1
750,-1,1,0
751,1,3,1
752,1,2,1
753,0,1,0
754,1.5,1,1
755,-1,1,0
756,-1,1,0
757,1.5,1,1
758,-1,2,0
759,0,1,0
760,1.5,1,1
761,1,1,1
762,1,2,1
763,1,2,1
764,-1,1,0
765,-1,1,0
766,1,1,1
767,-1,1,0
768,0,1,0
769,-1,1,0
770,1,1,1
771,-1,1,0
772,-2,1,0
773,-2,1,0
774,-1,1,0
775,1,2,1
776,1,1,1
777,-1,1,0
778,1.5,1,1
779,-1,1,0
780,-1,3,0
781,1,1,1
782,-1,1,0
783,-2,1,0
784,-1,1,0
785,0,1,0
786,-2,1,0
787,-1,1,0
788,-1,2,0
789,1,2,1
790,0,4,0
791,-1,1,0
792,1,1,1
793,1,2,1
794,-2,1,0
795,-2,3,0
796,0,3,0
797,-1,1,0
798,-1,1,0
799,-1,1,0
800,1,1,1
801,-1,1,0
802,1,1,1
803,-2,1,0
804,-2,1,0
805,1,1,1
806,-1,1,0
807,1,2,1
808,-1,1,0
809,-2,1,0
810,-1,1,0
811,2,1,1
812,-2,1,0
813,1,1,1
814,1,2,1
815,-2,1,0
816,1,1,1
817,1,1,1
818,0,2,0
819,1.5,1,1
820,1,1,1
821,1,1,1
822,-2,2,0
823,-2,1,0
824,1,3,1
825,-1,3,0
826,1.5,1,1
827,1,1,1
828,1,1,1
829,-2,1,0
830,-1,2,0
831,0,3,0
832,1,1,1
833,-1,1,0
834,0,2,0
835,-1,2,0
836,-1,2,0
837,0,2,0
838,1,2,1
839,-1,1,0
840,1,2,1
841,0,3,0
842,-1,1,0
843,-2,1,0
844,-1,1,0
845,-1,1,0
846,1,2,1
847,1,2,1
848,1,1,1
849,0,3,0
850,1,1,1
851,-1,1,0
852,0,3,0
853,1.5,1,1
854,-1,1,0
855,-1,1,0
856,1,2,1
857,1,2,1
858,-1,1,0
859,1,2,1
860,1,2,1
861,1,1,1
862,1,2,1
863,1,1,1
864,-1,2,0
865,1,2,1
866,-1,1,0
867,1.5,1,1
868,-2,1,0
869,1,1,1
870,-1,1,0
871,-2,1,0
872,1,2,1
873,1,2,1
874,1,2,1
875,0,1,0
876,-1,1,0
877,0,2,0
878,-1,1,0
879,1,2,1
880,-1,1,0
881,-1,1,0
882,1,2,1
883,1,1,1
884,2,1,1
885,-1,1,0
886,-1,1,0
887,-1,1,0
888,1,1,1
889,1,1,1
890,-1,1,0
891,-2,1,0
892,-1,1,0
893,-1,1,0
894,-1,3,0
895,-1,1,0
896,-1,1,0
897,1.5,1,1
898,2,2,1
899,1,1,1
900,1,2,1
901,1,1,1
902,1,1,1
903,1,1,1
904,2,1,1
905,-1,1,0
906,-1,2,0
907,1,1,1
908,1,2,1
909,1,1,1
910,-1,1,0
911,-1,3,0
912,-1,1,0
913,1,1,1
914,-1,3,0
915,-1,2,0
916,-1,2,0
917,1,3,1
918,-1,1,0
919,-1,1,0
920,-2,1,0
921,-2,1,0
922,-1,1,0
923,-1,1,0
924,1.5,1,1
925,-1,1,0
926,-1,1,0
927,-1,2,0
928,-2,4,0
929,1,1,1
930,2,1,1
931,1,2,1
932,-1,1,0
933,-1,1,0
934,-1,1,0
935,-1,1,0
936,1,2,1
937,-2,1,0
938,1,1,1
939,1,1,1
940,-1,1,0
941,1,2,1
942,1,1,1
943,2,2,1
944,-1,2,0
945,1,3,1
946,-1,2,0
947,-1,1,0
948,-1,1,0
949,-1,1,0
950,-1,1,0
951,1,1,1
952,1,2,1
953,-1,2,0
954,1.5,1,1
955,-1,1,0
956,1,1,1
957,-1,1,0
958,1,2,1
959,-1,1,0
960,-1,2,0
961,-1,1,0
962,-2,1,0
963,1.5,1,1
964,1,1,1
965,-1,2,0
966,1,1,1
967,-1,1,0
968,-1,2,0
969,-2,1,0
970,1,3,1
971,-2,1,0
972,-1,1,0
973,1,2,1
974,0,1,0
975,1,1,1
976,-1,1,0
977,1,2,1
978,-1,2,0
979,-1,2,0
980,1,2,1
981,-1,1,0
982,-1,1,0
983,-1,1,0
984,-1,1,0
985,-1,1,0
986,1,1,1
987,-1,1,0
988,-1,1,0
989,1,1,1
990,1,2,1
991,0,1,0
992,0,2,0
993,-1,1,0
994,0,1,0
995,0,2,0
996,-1,2,0
997,-1,3,0
998,-1,2,0
999,1,2,1
1000,-1,1,0
1001,1,2,1
1002,1,1,1
1003,-1,1,0
1004,-1,1,0
1005,0,2,0
1006,-2,1,0
1007,-1,2,0
1008,1,1,1
1009,-1,1,0
1010,2,1,1
1011,1,1,1
1012,-1,1,0
1013,-1,3,0
1014,1,1,1
1015,-1,1,0
1016,2,1,1
1017,1,1,1
1018,1,1,1
1019,-2,1,0
1020,1,1,1
1021,-1,2,0
1022,1.5,1,1
1023,1,1,1
1024,1,2,1
1025,0,2,0
1026,1,1,1
1027,1,1,1
1028,-1,1,0
1029,1,3,1
1030,-1,1,0
1031,1,3,1
1032,1.5,1,1
1033,-2,2,0
1034,-1,1,0
1035,1,2,1
1036,-1,2,0
1037,1,2,1
1038,0,1,0
1039,-1,1,0
1040,1,1,1
1041,1,1,1
1042,1,1,1
1043,1,1,1
1044,-1,1,0
1045,1,1,1
1046,-1,1,0
1047,0,3,0
1048,-1,1,0
1049,-2,1,0
1050,-1,2,0
1051,-1,2,0
1052,1,1,1
1053,-1,1,0
1054,1.5,1,1
1055,-1,1,0
1056,1,1,1
1057,-1,2,0
1058,1,3,1
1059,1.5,1,1
1060,1,1,1
1061,1.5,1,1
1062,1,1,1
1063,-1,1,0
1064,1.5,1,1
1065,-1,1,0
1066,-1,1,0
1067,2,1,1
1068,1,3,1
1069,-1,1,0
1070,-1,1,0
1071,-2,1,0
1072,-2,1,0
1073,-1,1,0
1074,-1,2,0
1075,1.5,1,1
1076,-1,1,0
1077,-1,1,0
1078,1.5,1,1
1079,-1,2,0
1080,1,1,1
1081,-1,1,0
1082,1,2,1
1083,-1,1,0
1084,-1,1,0
1085,-1,1,0
1086,-1,3,0
1087,1.5,1,1
1088,1,2,1
1089,-2,1,0
1090,-1,2,0
1091,-1,1,0
1092,-1,1,0
1093,-1,1,0
1094,-1,2,0
1095,0,1,0
1096,1.5,1,1
1097,1,2,1
1098,-1,3,0
1099,-1,1,0
1100,1.5,1,1
1101,-2,1,0
1102,1,1,1
1103,-1,1,0
1104,-2,1,0
1105,-2,1,0
1106,-1,1,0
1107,-2,4,0
1108,-1,1,0
1109,1,2,1
1110,1,2,1
1111,-1,2,0
1112,1,2,1
1113,0,1,0
1114,2,1,1
1115,-1,2,0
1116,-2,1,0
1117,-1,2,0
1118,-1,1,0
1119,1,1,1
1120,-2,1,0
1121,1,1,1
1122,1,3,1
1123,-1,1,0
1124,1.5,1,1
1125,-2,1,0
1126,-1,1,0
1127,1,1,1
1128,1,2,1
1129,1,1,1
1130,1,2,1
1131,-2,1,0
1132,-1,2,0
1133,0,2,0
1134,-1,1,0
1135,0,1,0
1136,-1,1,0
1137,-1,2,0
1138,1,1,1
1139,1.5,1,1
1140,2,1,1
1141,-1,1,0
1142,-1,2,0
1143,-1,1,0
1144,0,2,0
1145,1,1,1
1146,-2,1,0
1147,-1,1,0
1148,1,2,1
1149,1,1,1
1150,-1,1,0
1151,1.5,1,1
1152,-1,1,0
1153,-1,1,0
1154,-2,2,0
1155,-1,1,0
1156,1,1,1
1157,-1,2,0
1158,-1,2,0
1159,1,1,1
1160,-2,1,0
1161,-2,1,0
1162,-1,2,0
1163,-1,1,0
1164,1,2,1
1165,-1,1,0
1166,-1,1,0
1167,1,1,1
1168,1,2,1
1169,1,2,1
1170,0,1,0
1171,-1,1,0
1172,-2,2,0
1173,1,2,1
1174,-1,2,0
1175,-1,2,0
1176,-1,1,0
1177,-1,1,0
1178,1.5,1,1
1179,-1,1,0
1180,-1,1,0
1181,1,1,1
1182,1,1,1
1183,-2,1,0
1184,-1,2,0
1185,-1,1,0
1186,1,2,1
1187,-1,4,0
1188,1,2,1
1189,-1,1,0
1190,-1,2,0
1191,-1,1,0
1192,-1,2,0
1193,1,2,1
1194,-1,1,0
1195,-1,1,0
1196,-1,1,0
1197,-1,2,0
1198,1,1,1
1199,-1,2,0
1200,-1,2,0
1201,0,1,0
1202,1,2,1
1203,1,1,1
1204,2,2,1
1205,1,1,1
1206,1,2,1
1207,-1,1,0
1208,-1,1,0
1209,-1,1,0
1210,-1,3,0
1211,1.5,1,1
1212,-1,1,0
1213,-1,1,0
1214,-1,1,0
1215,-1,1,0
1216,1,1,1
1217,-1,1,0
1218,1,2,1
1219,1,1,1
1220,-1,1,0
1221,1,2,1
